week,date,day,shift,slot,company,tier,company_id
1,2026-07-06,الإثنين,الفترة المسائية,4,شركة الأمل الطبية,B,7002de7e-7e2c-4e09-8489-f5ee1b782049
1,2026-07-06,الإثنين,الفترة المسائية,5,مؤسسة وادي بن علي,B,255bdc3a-d4f5-4e9c-9f73-d229f7673d2b
1,2026-07-06,الإثنين,الفترة المسائية,6,النور للأدوية (مجموعة),A,f53bf8b0-141e-4985-aaba-a3700544620f
1,2026-07-06,الإثنين,الفترة المسائية,7,السريحي للأدوية,B,69ae82a8-afd7-461e-acd4-ea3a48b0f1d4
1,2026-07-06,الإثنين,الفترة المسائية,8,مجموعة الاتحاد للأدوية,B,55efa5dc-5188-4013-98b9-861964774783
1,2026-07-07,الثلاثاء,الفترة الصباحية,1,اوسبيتد ميديكال,B,f71597a8-036e-4c26-b593-99b77b6f5448
1,2026-07-07,الثلاثاء,الفترة الصباحية,2,القاهرة لتجارة الأدوية,B,e924295c-f77f-4c89-a407-d315532d126a
1,2026-07-07,الثلاثاء,الفترة الصباحية,3,مخازن بلقيس - القسم الأوروبي,A,e7b1ec22-8ed8-4e7e-b69a-b16802dc618d
1,2026-07-07,الثلاثاء,الفترة الصباحية,4,الوطنية للأدوية,B,40b9e55f-d9fd-44ae-994e-1a9c8b77266b
1,2026-07-07,الثلاثاء,الفترة الصباحية,5,العبير فارما,A,4e688f9e-b8c7-4256-816f-566e18291984
1,2026-07-07,الثلاثاء,الفترة الصباحية,6,شركة المحضار اخوان,B,153a0a09-3fcc-4f77-836f-17246a1c1530
1,2026-07-07,الثلاثاء,الفترة الصباحية,7,شركة الجبل - سيلا,A,a061deae-b228-47df-b8c1-16d994598f78
1,2026-07-07,الثلاثاء,الفترة المسائية,1,هيلث كير,B,f1586936-31d8-40ab-932f-10b577a33a14
1,2026-07-07,الثلاثاء,الفترة المسائية,2,الجبل فارما - قسم الحكمة,A,bc313a2a-0fe5-454e-9ad2-5a5135a3256e
1,2026-07-07,الثلاثاء,الفترة المسائية,3,مؤسسة محمد الشاعر,B,41cadb57-8d07-4f9e-9039-e97ed6e5b5bf
1,2026-07-07,الثلاثاء,الفترة المسائية,4,مؤسسة المداني,B,60a406d5-c3bc-4138-a55d-1774fb789cb4
1,2026-07-07,الثلاثاء,الفترة المسائية,5,مجموعة النمر للتجارة,B,5ed2cd33-fb03-4e55-8093-f01248c4b707
1,2026-07-07,الثلاثاء,الفترة المسائية,6,الثقة فارما,A,14706375-38ab-4d39-bd76-6cafee51a49e
1,2026-07-07,الثلاثاء,الفترة المسائية,7,شركة أرض الجنتين - العربية,B,b8287cb1-04ed-47a9-bd62-b3fe07f8a2eb
1,2026-07-07,الثلاثاء,الفترة المسائية,8,سمارتي للأدوية,B,a4f659cf-7065-48e7-86b8-a52b400f30ef
1,2026-07-08,الأربعاء,الفترة الصباحية,1,الأسدين فارما,A,4aa8b2a2-1cb5-403e-bf96-685585fdac3f
1,2026-07-08,الأربعاء,الفترة الصباحية,2,شركة الملك للتجارة,B,02b08283-8aec-4488-833e-6f9fe207cec3
1,2026-07-08,الأربعاء,الفترة الصباحية,3,مؤسسة الخليج العربي,B,eaaded01-668b-4b2d-930f-a6aa6839d69e
1,2026-07-08,الأربعاء,الفترة الصباحية,4,شركة الشرق للأدوية,B,2abfc327-1564-4d90-a983-3d87f43364c2
1,2026-07-08,الأربعاء,الفترة الصباحية,5,شركة إنما فارما,A,f40785dd-014b-453e-a559-cecbd7567403
1,2026-07-08,الأربعاء,الفترة الصباحية,6,الغزالي للأدوية,B,b174d6d5-610e-4b36-a3c2-72a051d3af2d
1,2026-07-08,الأربعاء,الفترة الصباحية,7,شركة عين سبا,B,06279de2-4b96-414e-9455-9942050d6590
1,2026-07-08,الأربعاء,الفترة المسائية,1,است برو هيلت,A,b8862cb5-0619-4c73-93e0-46941439169e
1,2026-07-08,الأربعاء,الفترة المسائية,2,النبيل للأدوية,B,704bc8d0-75a1-47e4-92e1-94c457f7ed7d
1,2026-07-08,الأربعاء,الفترة المسائية,3,المفضل فارما - بيليم,A,77d4208b-c4e9-46f6-9c50-1e8d8f59efdb
1,2026-07-08,الأربعاء,الفترة المسائية,4,سر الدواء للأدوية,B,fd4e9d70-290a-419a-98d0-8a8dacd04bd3
1,2026-07-08,الأربعاء,الفترة المسائية,5,صيدلية الهلال 2,A,8aba1956-21fc-46c6-ae6d-b10039249edf
1,2026-07-08,الأربعاء,الفترة المسائية,6,الشركة العالمية - قطاع فارما,A,f3433cb4-2cb9-4950-9796-b36f563080c5
1,2026-07-08,الأربعاء,الفترة المسائية,7,فواصل فارما,B,54a5da65-56a1-4388-9a39-f13ac5d794c2
2,2026-07-11,السبت,الفترة الصباحية,1,شركة اليمان فارما,A,880d0a24-6941-4118-bccd-c88b5a8d5424
2,2026-07-11,السبت,الفترة الصباحية,2,النور للأدوية (مجموعة),A,f53bf8b0-141e-4985-aaba-a3700544620f
2,2026-07-11,السبت,الفترة الصباحية,3,النور للأدوية - التجميل,A,c9b7e001-7c83-47f1-86e4-a4e22f96ed70
2,2026-07-11,السبت,الفترة الصباحية,4,توكيلات اليمامة للأدوية,B,95c4f8a9-eea0-4679-a517-526803c08ac4
2,2026-07-11,السبت,الفترة الصباحية,5,الوطنية للأدوية,B,40b9e55f-d9fd-44ae-994e-1a9c8b77266b
2,2026-07-11,السبت,الفترة الصباحية,6,شركة نماء فارما,B,f5c9ccee-7731-40d2-a6f8-f029c9af4d51
2,2026-07-11,السبت,الفترة الصباحية,7,شركة الرباط فارما,B,d8d310f3-af76-4cea-b117-fda9ec83f125
2,2026-07-11,السبت,الفترة المسائية,1,الميدان للأدوية,B,61f6e5f8-1569-482f-8f2e-7caf5b3c5246
2,2026-07-11,السبت,الفترة المسائية,2,شركة لوتن للأدوية,B,edb3e295-e99f-434c-8885-6acf3d28a53d
2,2026-07-11,السبت,الفترة المسائية,3,المفضل فارما - بيليم,A,77d4208b-c4e9-46f6-9c50-1e8d8f59efdb
2,2026-07-11,السبت,الفترة المسائية,4,مخازن بلقيس - القسم الأوروبي,A,e7b1ec22-8ed8-4e7e-b69a-b16802dc618d
2,2026-07-11,السبت,الفترة المسائية,5,صيدلية الهلال 2,A,8aba1956-21fc-46c6-ae6d-b10039249edf
2,2026-07-11,السبت,الفترة المسائية,6,رويال فارما التخصصية,B,b0052753-56dc-4591-84c2-b568639b3cc6
2,2026-07-11,السبت,الفترة المسائية,7,المؤسسة المتقدمة - بيزلين,B,370a9139-c16b-4cd2-807c-b81aa19c0825
2,2026-07-11,السبت,الفترة المسائية,8,شركة العابد - سكوت,A,4b815465-999d-4996-b0ae-e973a20d9358
2,2026-07-12,الأحد,الفترة الصباحية,1,الشركة العربية (ABC),A,d99d4ec7-561b-4ab4-b009-412902790a2e
