week,date,day,shift,slot,legacy_slot,company,tier,company_id
1,2026-07-04,السبت,الفترة الصباحية,11,1,مخازن الزبيدي للأدوية,B,80673b71-d60a-455c-8fc4-3d7ed9e35d47
2,2026-07-11,السبت,الفترة الصباحية,11,1,مخازن الزبيدي للأدوية,B,80673b71-d60a-455c-8fc4-3d7ed9e35d47
3,2026-07-18,السبت,الفترة الصباحية,11,1,مخازن الزبيدي للأدوية,B,80673b71-d60a-455c-8fc4-3d7ed9e35d47
4,2026-07-25,السبت,الفترة الصباحية,11,1,مخازن الزبيدي للأدوية,B,80673b71-d60a-455c-8fc4-3d7ed9e35d47
1,2026-07-04,السبت,الفترة الصباحية,12,2,هيلث كير,UNRATED,345b1e84-556f-4c7f-b7fa-e4a1d75d2596
2,2026-07-11,السبت,الفترة الصباحية,12,2,هيلث كير,UNRATED,345b1e84-556f-4c7f-b7fa-e4a1d75d2596
3,2026-07-18,السبت,الفترة الصباحية,12,2,هيلث كير,UNRATED,345b1e84-556f-4c7f-b7fa-e4a1d75d2596
4,2026-07-25,السبت,الفترة الصباحية,12,2,هيلث كير,UNRATED,345b1e84-556f-4c7f-b7fa-e4a1d75d2596
1,2026-07-04,السبت,الفترة المسائية,1,1,الأسدين فارما,B,c0fec8cc-bcf7-45c8-97e1-f6b9a167d21d
2,2026-07-11,السبت,الفترة المسائية,1,1,الأسدين فارما,B,c0fec8cc-bcf7-45c8-97e1-f6b9a167d21d
3,2026-07-18,السبت,الفترة المسائية,1,1,الأسدين فارما,B,c0fec8cc-bcf7-45c8-97e1-f6b9a167d21d
4,2026-07-25,السبت,الفترة المسائية,1,1,الأسدين فارما,B,c0fec8cc-bcf7-45c8-97e1-f6b9a167d21d
1,2026-07-04,السبت,الفترة المسائية,2,2,الشركة العالمية - قطاع فارما,A,39aac3a1-6ae4-4f6d-a279-4fb92352fd7c
2,2026-07-11,السبت,الفترة المسائية,2,2,الشركة العالمية - قطاع فارما,A,39aac3a1-6ae4-4f6d-a279-4fb92352fd7c
3,2026-07-18,السبت,الفترة المسائية,2,2,الشركة العالمية - قطاع فارما,A,39aac3a1-6ae4-4f6d-a279-4fb92352fd7c
4,2026-07-25,السبت,الفترة المسائية,2,2,الشركة العالمية - قطاع فارما,A,39aac3a1-6ae4-4f6d-a279-4fb92352fd7c
1,2026-07-04,السبت,الفترة المسائية,3,3,المؤسسة المتحدة للأدوية,B,b029efb0-9054-4747-8f2d-65fcd3ca6ea1
2,2026-07-11,السبت,الفترة المسائية,3,3,المؤسسة المتحدة للأدوية,B,b029efb0-9054-4747-8f2d-65fcd3ca6ea1
3,2026-07-18,السبت,الفترة المسائية,3,3,المؤسسة المتحدة للأدوية,B,b029efb0-9054-4747-8f2d-65fcd3ca6ea1
4,2026-07-25,السبت,الفترة المسائية,3,3,المؤسسة المتحدة للأدوية,B,b029efb0-9054-4747-8f2d-65fcd3ca6ea1
1,2026-07-04,السبت,الفترة المسائية,4,4,اي في فارما للأدوية,B,ed9717ea-fb79-45e5-adbf-91d0815ed6e8
2,2026-07-11,السبت,الفترة المسائية,4,4,اي في فارما للأدوية,B,ed9717ea-fb79-45e5-adbf-91d0815ed6e8
3,2026-07-18,السبت,الفترة المسائية,4,4,اي في فارما للأدوية,B,ed9717ea-fb79-45e5-adbf-91d0815ed6e8
4,2026-07-25,السبت,الفترة المسائية,4,4,اي في فارما للأدوية,B,ed9717ea-fb79-45e5-adbf-91d0815ed6e8
1,2026-07-04,السبت,الفترة المسائية,5,5,ريدان بن عباس,B,af08bf77-1ffc-451f-81b9-2e827655e284
2,2026-07-11,السبت,الفترة المسائية,5,5,ريدان بن عباس,B,af08bf77-1ffc-451f-81b9-2e827655e284
3,2026-07-18,السبت,الفترة المسائية,5,5,ريدان بن عباس,B,af08bf77-1ffc-451f-81b9-2e827655e284
4,2026-07-25,السبت,الفترة المسائية,5,5,ريدان بن عباس,B,af08bf77-1ffc-451f-81b9-2e827655e284
1,2026-07-04,السبت,الفترة المسائية,6,6,شركة الرشيد للأدوية,A,3226e87e-e9c9-44ab-aed8-5617c1add35c
2,2026-07-11,السبت,الفترة المسائية,6,6,شركة الرشيد للأدوية,A,3226e87e-e9c9-44ab-aed8-5617c1add35c
3,2026-07-18,السبت,الفترة المسائية,6,6,شركة الرشيد للأدوية,A,3226e87e-e9c9-44ab-aed8-5617c1add35c
4,2026-07-25,السبت,الفترة المسائية,6,6,شركة الرشيد للأدوية,A,3226e87e-e9c9-44ab-aed8-5617c1add35c
1,2026-07-04,السبت,الفترة المسائية,7,7,شركة حضرموت الوادي,A,eb9f0e8f-968f-443c-8a57-add3630cfd8b
2,2026-07-11,السبت,الفترة المسائية,7,7,شركة حضرموت الوادي,A,eb9f0e8f-968f-443c-8a57-add3630cfd8b
3,2026-07-18,السبت,الفترة المسائية,7,7,شركة حضرموت الوادي,A,eb9f0e8f-968f-443c-8a57-add3630cfd8b
4,2026-07-25,السبت,الفترة المسائية,7,7,شركة حضرموت الوادي,A,eb9f0e8f-968f-443c-8a57-add3630cfd8b
1,2026-07-04,السبت,الفترة المسائية,8,8,فارما المحدودة / ناتكو,B,43b00a47-698d-49d0-aa07-c9dc6d7031f9
2,2026-07-11,السبت,الفترة المسائية,8,8,فارما المحدودة / ناتكو,B,43b00a47-698d-49d0-aa07-c9dc6d7031f9
3,2026-07-18,السبت,الفترة المسائية,8,8,فارما المحدودة / ناتكو,B,43b00a47-698d-49d0-aa07-c9dc6d7031f9
4,2026-07-25,السبت,الفترة المسائية,8,8,فارما المحدودة / ناتكو,B,43b00a47-698d-49d0-aa07-c9dc6d7031f9
1,2026-07-04,السبت,الفترة المسائية,9,9,مؤسسة المداني,B,8cba4ec5-d955-4aab-bae4-6dec82a773b3
