week,date,day,shift,base_day,base_shift,slot,legacy_slot,company,tier,company_id
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,1,1,الجزيرة والخليج,UNRATED,b1550045-49f8-4878-b036-6e83fd4f89d3
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,1,1,الجزيرة والخليج,UNRATED,b1550045-49f8-4878-b036-6e83fd4f89d3
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,1,1,الجزيرة والخليج,UNRATED,b1550045-49f8-4878-b036-6e83fd4f89d3
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,1,1,الجزيرة والخليج,UNRATED,b1550045-49f8-4878-b036-6e83fd4f89d3
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,2,2,العبير فارما,UNRATED,1bd2c7eb-e866-4692-b1ef-980e33c32de6
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,2,2,العبير فارما,UNRATED,1bd2c7eb-e866-4692-b1ef-980e33c32de6
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,2,2,العبير فارما,UNRATED,1bd2c7eb-e866-4692-b1ef-980e33c32de6
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,2,2,العبير فارما,UNRATED,1bd2c7eb-e866-4692-b1ef-980e33c32de6
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,3,3,الميدان للأدوية,UNRATED,f191fd3e-a031-4200-ae72-075e3cea7720
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,3,3,الميدان للأدوية,UNRATED,f191fd3e-a031-4200-ae72-075e3cea7720
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,3,3,الميدان للأدوية,UNRATED,f191fd3e-a031-4200-ae72-075e3cea7720
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,3,3,الميدان للأدوية,UNRATED,f191fd3e-a031-4200-ae72-075e3cea7720
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,4,4,توكيلات اليمامة للأدوية,UNRATED,20dafdb5-f2f8-474f-895c-8fc6b88eed68
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,4,4,توكيلات اليمامة للأدوية,UNRATED,20dafdb5-f2f8-474f-895c-8fc6b88eed68
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,4,4,توكيلات اليمامة للأدوية,UNRATED,20dafdb5-f2f8-474f-895c-8fc6b88eed68
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,4,4,توكيلات اليمامة للأدوية,UNRATED,20dafdb5-f2f8-474f-895c-8fc6b88eed68
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,5,5,سر الدواء للأدوية,UNRATED,f4624f06-76b5-4cf0-aabe-b8d4c8507527
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,5,5,سر الدواء للأدوية,UNRATED,f4624f06-76b5-4cf0-aabe-b8d4c8507527
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,5,5,سر الدواء للأدوية,UNRATED,f4624f06-76b5-4cf0-aabe-b8d4c8507527
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,5,5,سر الدواء للأدوية,UNRATED,f4624f06-76b5-4cf0-aabe-b8d4c8507527
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,6,6,شركة الفرقان التجارية,UNRATED,23c83fbf-e31d-42d8-b7cd-3e422ab70d2d
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,6,6,شركة الفرقان التجارية,UNRATED,23c83fbf-e31d-42d8-b7cd-3e422ab70d2d
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,6,6,شركة الفرقان التجارية,UNRATED,23c83fbf-e31d-42d8-b7cd-3e422ab70d2d
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,6,6,شركة الفرقان التجارية,UNRATED,23c83fbf-e31d-42d8-b7cd-3e422ab70d2d
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,7,7,شركة غرناطة المحدودة,UNRATED,dc17e579-1727-4d4e-bef1-67e09878dde7
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,7,7,شركة غرناطة المحدودة,UNRATED,dc17e579-1727-4d4e-bef1-67e09878dde7
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,7,7,شركة غرناطة المحدودة,UNRATED,dc17e579-1727-4d4e-bef1-67e09878dde7
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,7,7,شركة غرناطة المحدودة,UNRATED,dc17e579-1727-4d4e-bef1-67e09878dde7
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,8,8,ليدر فارما للأدوية,UNRATED,f68e76ae-a9de-4e5d-ab33-76d35795cfe7
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,8,8,ليدر فارما للأدوية,UNRATED,f68e76ae-a9de-4e5d-ab33-76d35795cfe7
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,8,8,ليدر فارما للأدوية,UNRATED,f68e76ae-a9de-4e5d-ab33-76d35795cfe7
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,8,8,ليدر فارما للأدوية,UNRATED,f68e76ae-a9de-4e5d-ab33-76d35795cfe7
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,9,9,مؤسسة محمد الشاعر,UNRATED,47639ab6-fc5d-4af0-b422-66055b9096e1
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,9,9,مؤسسة محمد الشاعر,UNRATED,47639ab6-fc5d-4af0-b422-66055b9096e1
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,9,9,مؤسسة محمد الشاعر,UNRATED,47639ab6-fc5d-4af0-b422-66055b9096e1
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,9,9,مؤسسة محمد الشاعر,UNRATED,47639ab6-fc5d-4af0-b422-66055b9096e1
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,10,10,محمد الجوهري,UNRATED,cc51dcf7-de94-45d4-8aaf-28852563ace3
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,10,10,محمد الجوهري,UNRATED,cc51dcf7-de94-45d4-8aaf-28852563ace3
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,10,10,محمد الجوهري,UNRATED,cc51dcf7-de94-45d4-8aaf-28852563ace3
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,10,10,محمد الجوهري,UNRATED,cc51dcf7-de94-45d4-8aaf-28852563ace3
1,2026-07-08,الأربعاء,الفترة المسائية,5,EVENING,11,1,هم حضرموت للاستيراد,UNRATED,99fd5d6d-2d6c-40b7-b866-17728dab035b
2,2026-07-11,السبت,الفترة الصباحية,5,EVENING,11,1,هم حضرموت للاستيراد,UNRATED,99fd5d6d-2d6c-40b7-b866-17728dab035b
3,2026-07-19,الأحد,الفترة المسائية,5,EVENING,11,1,هم حضرموت للاستيراد,UNRATED,99fd5d6d-2d6c-40b7-b866-17728dab035b
4,2026-07-27,الإثنين,الفترة الصباحية,5,EVENING,11,1,هم حضرموت للاستيراد,UNRATED,99fd5d6d-2d6c-40b7-b866-17728dab035b
